,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
166,stroke_severity_arrival,40.0,-25.77489875130006,-17.59986499485094,-14.797434165669838,-12.874311931099509,4.192534299787367,-14.375975791736064,5.358705546795626,60,2
167,stroke_severity_arrival,41.0,-12.760516684326577,-10.75281795611285,-8.014517800639151,-6.594120489623746,17.384772487067384,-6.440147007437894,7.287172492678439,20,2
168,stroke_severity_arrival,42.0,-28.38190451066126,-11.235748020476894,-8.731042850265512,-6.7728725443640725,42.37422540052794,-6.596668964017886,10.521280598676325,95,2
169,prior_disability,0.0,-15.630644141929224,-1.9088974978867919,-1.3561216393287758,-0.18142605459317565,11.130731317531318,-0.8936114417774768,1.5665829700369156,39050,2
170,prior_disability,1.0,-11.859257758834865,0.5909222608595155,0.9501886945962906,1.3575036486657335,49.20163791800151,1.0095814645949763,1.056589576240063,13865,2
171,prior_disability,2.0,-9.786838125549258,3.6088883914519103,4.717086609697435,5.669159193602391,18.47212654720759,4.604746012905375,1.6534992407567872,8615,2
172,prior_disability,3.0,-25.35103247637395,1.901405029661255,5.143150547177065,7.4953540481464005,23.78426331723109,4.8048556165951055,3.356309122745819,9725,2
173,prior_disability,4.0,-13.232431073414627,-1.7927865430735983,1.6299856319557875,5.642600901110564,30.344064964400605,2.1354989846058836,4.732765118895144,4885,2
174,prior_disability,5.0,-13.07121307693422,-6.810518038740847,-3.7924533281102777,0.510704525084002,20.69629287822172,-2.6137367544949512,5.210877809194807,1235,2
175,age,0-29,-22.772543711953332,-4.77587891755742,-1.7996067119319923,1.2385251760098617,61.1880419249367,-0.8747340056105536,8.497986612073381,340,2
176,age,30-59,-14.88578934487421,-1.6006312646158039,-0.44882663181982935,1.37709416962869,67.13161637145095,0.6788820709771558,4.59523093759072,11830,2
177,age,60+,-25.467920771762728,-1.3503995759002283,-0.14577608264866285,1.3587090976542093,42.44059681560378,-0.33684366263255766,2.8550223432059743,65210,2
